------ITER 1------
EPOCH ::: 1
Training Net (2/17) Data: 0.003s | Batch: 1.398s | Total: 0:00:02 | ETA: 0:00:23 | Loss_pi: 4.1410 | Loss_v: 128.127
Training Net (3/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 4.1186 | Loss_v: 128.048
Training Net (4/17) Data: 0.003s | Batch: 1.401s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 4.0245 | Loss_v: 128.296
Training Net (5/17) Data: 0.003s | Batch: 1.385s | Total: 0:00:06 | ETA: 0:00:19 | Loss_pi: 4.0181 | Loss_v: 128.730
Training Net (6/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.0511 | Loss_v: 128.757
Training Net (7/17) Data: 0.003s | Batch: 1.387s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.0806 | Loss_v: 128.722
Training Net (8/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 4.0645 | Loss_v: 128.608
Training Net (9/17) Data: 0.003s | Batch: 1.383s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.0873 | Loss_v: 128.697
Training Net (10/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:13 | ETA: 0:00:12 | Loss_pi: 4.0862 | Loss_v: 128.386
Training Net (11/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.0774 | Loss_v: 128.433
Training Net (12/17) Data: 0.003s | Batch: 1.383s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.0691 | Loss_v: 128.831
Training Net (13/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.0793 | Loss_v: 128.828
Training Net (14/17) Data: 0.003s | Batch: 1.377s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.0868 | Loss_v: 128.835
Training Net (15/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.1179 | Loss_v: 128.807
Training Net (16/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:22 | ETA: 0:00:03 | Loss_pi: 4.1443 | Loss_v: 128.788
Training Net (17/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.1859 | Loss_v: 128.739
EPOCH ::: 10
Training Net (1/17) Data: 0.002s | Batch: 1.374s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 4.9405 | Loss_v: 127.788
Training Net (2/17) Data: 0.003s | Batch: 1.360s | Total: 0:00:02 | ETA: 0:00:22 | Loss_pi: 4.8996 | Loss_v: 128.777
Training Net (3/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 4.8212 | Loss_v: 129.030
Training Net (4/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 4.6917 | Loss_v: 128.770
Training Net (5/17) Data: 0.003s | Batch: 1.369s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 4.6044 | Loss_v: 128.945
Training Net (6/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.5340 | Loss_v: 128.863
Training Net (7/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.4394 | Loss_v: 128.631
